Time	Species	State	Cell	Experiment	Dish	Plate	Well	Date
Gel_1_Experiment_30_CTRL_1	48	Human	CTRL	D	30	1	1	1	20150903
Gel_1_Experiment_30_NIL_1	48	Human	NIL	D	30	6	1	2	20150903
Gel_1_Experiment_30_PAZ_1	48	Human	PAZ	D	30	23	1	3	20150903
Gel_1_Experiment_30_REG_1	48	Human	REG	D	30	26	1	4	20150903
Gel_1_Experiment_30_SUN_1	48	Human	SUN	D	30	6	1	5	20150903
2nd_Experiment_39_CTRL_1	48	Human	CTRL	D	39	2	2	1	20150903
2nd_Experiment_39_NIL_1	48	Human	NIL	D	39	12	2	2	20150903
2nd_Experiment_39_PAZ_1	48	Human	PAZ	D	39	15	2	3	20150903
2nd_Experiment_39_REG_1	48	Human	REG	D	39	18	2	4	20150903
2nd_Experiment_39_SUN_1	48	Human	SUN	D	39	6	2	5	20150903
Gel_3_Experiment_39_CTRL1	48	Human	CTRL	D	39	1	3	1	20150903
Gel_3_Experiment_39_ERL1	48	Human	ERL	D	39	3	3	2	20150903
Gel_3_Experiment_39_NIL1	48	Human	NIL	D	39	13	3	3	20150903
Gel_3_Experiment_39_PAZ1	48	Human	PAZ	D	39	27	3	4	20150903
Gel_3_Experiment_39_REG1	48	Human	REG	D	39	30	3	5	20150903
Gel_4_Experiment_28_CTRL1	48	Human	CTRL	D	28	2	4	1	20150903
Gel_4_Experiment_28_ERL1	48	Human	ERL	D	28	3	4	2	20150903
Gel_4_Experiment_28_SUN1	48	Human	SUN	D	28	11	4	3	20150903
Gel_5_Experiment_30_AFA_150923052026	48	Human	AFA	D	30	25	5	2	20150903
Gel_5_Experiment_30_AXI_150922211943	48	Human	AXI	D	30	22	5	3	20150903
Gel_5_Experiment_30_CTRL1_150922131908	48	Human	CTRL	D	30	2	5	1	20150903
Gel_5_Experiment_30_ERL_150922171926	48	Human	ERL	D	30	3	5	4	20150903
Gel_5_Experiment_30_RUX_150923012006	48	Human	RUX	D	30	24	5	5	20150903
Gel_6_Experiment_39_AFA_150926090401	48	Human	AFA	D	39	17	6	2	20150903
Gel_6_Experiment_39_AXI_150926010323	48	Human	AXI	D	39	14	6	3	20150903
Gel_6_Experiment_39_CTRL1_150925170228	48	Human	CTRL	D	39	1	6	1	20150903
Gel_6_Experiment_39_RUX_150926050342	48	Human	RUX	D	39	16	6	4	20150903
Gel_7_Experiment_30_BOS1	48	Human	BOS	D	30	19	7	2	20150903
Gel_7_Experiment_30_CTRL1	48	Human	CTRL	D	30	1	7	1	20150903
Gel_7_Experiment_30_GEF1	48	Human	GEF	D	30	18	7	3	20150903
Gel_7_Experiment_30_TOF1	48	Human	TOF	D	30	17	7	4	20150903
Gel_7_Experiment_30_VAN1	48	Human	VAN	D	30	20	7	5	20150903
Gel_8_Experiment_42_CTRL1	48	Human	CTRL	D	42	1	8	1	20150903
Gel_8_Experiment_42_NIL1	48	Human	NIL	D	42	8	8	2	20150903
Gel_8_Experiment_42_PAZ1	48	Human	PAZ	D	42	10	8	3	20150903
Gel_8_Experiment_42_REG1	48	Human	REG	D	42	13	8	4	20150903
Gel_8_Experiment_42_SUN1	48	Human	SUN	D	42	20	8	5	20150903
